ID_2	Xt	Yt	Altitude_GPS (m)	Altitude_STRM (m)	CE (dS/m)	MOS (%)	C:N	NT (%)	CIC (Cmol /kg)	pH	Ca (Cmol /kg)	Mg (Cmol /kg)	Na (Cmol /kg)	K (Cmol /kg)	P (mg/kg)	Fe (mg/kg)	Mn (mg/kg)	Cu (mg/kg)	Zn (mg/kg)	CC (%)	CMP (%)	Arena (%)	Limo (%)	Arcilla (%)	Oxidos de Al (%)	Oxidos de Fe (%)	Ca (mg/kg)	Mg (mg/kg)	Na (mg/kg)	K (mg/kg)
262	381632.96	6292313.34	296	290	0.08	1.6	12.06	0.08	9.1	6.7	4	1.1	1.3	2	81.67	211.6	98.3	0.1	0.76	10	4.8	63.4	26.4	10.2	.	.	.	.	.	.
263	384813.95	6282947.56	268	272	0.13	1.62	9.39	0.1	10.14	6.5	3.83	2.11	0.05	1.6	79.53	168	59.2	0.6	2.6	8.7	5.9	76.2	15.2	8.6	.	.	.	.	.	.
264	377971.74	6258673.41	236	232	0.14	1.91	12.33	0.09	10.7	6.3	8.74	1.23	0.2	1.8	160.9	127	59.2	0.5	1.26	8.9	6.4	76.1	11.5	12.4	0.07	0.07	.	.	.	.
265	378353.93	6241497.3	217	219	0.1	1.46	8.48	0.1	8.3	6.2	7.28	3.52	1.1	1.7	40.99	152.1	64.4	1	0.56	10.2	5.5	67.9	18.8	13.3	0.08	0.08	.	.	.	.
266	385668.46	6223914.94	201	199	0.11	1.68	12.2	0.08	11.8	6	7.62	1.64	1.3	1.3	37.11	181	68.4	1.1	0.61	10.1	5.2	71.4	15.6	13	0.07	0.08	.	.	.	.
267	372920.76	6201697.05	224	209	0.09	1.39	11.53	0.07	10.4	6.6	9.51	0.28	0.1	1.5	40.58	85.4	35.2	0.8	0.46	9.7	5.4	77.5	10.7	11.8	0.07	0.07	.	.	.	.
268	373822.74	6168505.49	191	177	0.13	1.55	9.96	0.09	10.2	6.7	5.7	2.15	1.3	2.4	35.69	183.5	94.9	1.5	0.32	12.7	.	86.1	10.6	3.3	.	.	.	.	.	.
269	374283.45	6155857.43	186	185	0.12	1.42	11.8	0.07	9.7	6.8	5.6	2.13	1.3	2	35.32	102.2	62.7	1.4	0.01	11.4	6	74.3	17.6	8.2	.	.	.	.	.	.
270	379627.02	6134719.16	177	175	0.19	1.52	8.82	0.1	12.6	7.7	15.9	3	1.4	2.2	19.07	71.1	133.3	2.2	0.01	15.2	8.4	8.7	58.2	33.2	0.14	0.06	.	.	.	.
271	348711.77	6711924.3	130	136	27.1	1.08	5.6	0.05	12.7	7.2	44.89	2.88	53.7	0.9	23.7	48.4	120.4	1.7	0.25	15.6	10.2	78.1	15.4	6.4	.	.	.	.	.	.
